winner,loser,replica,exhibition,draw,location,league,round,year,date,date
Skone,Errecé,SIN RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,8,2017-2018,"Viernes, 29 de Diciembre de 2017",29/12/2017
Hander,Zasko,2 RÉPLICAS,FALSE,FALSE,"Barcelona, España",FMS Espana,1,2018-2019,"Sábado, 05 de Mayo de 2018",05/05/2018
Errecé,Arkano,SIN RÉPLICA,FALSE,FALSE,"Barcelona, España",FMS Espana,1,2018-2019,"Sábado, 05 de Mayo de 2018",05/05/2018
Skone,Walls,1 RÉPLICA,FALSE,FALSE,"Barcelona, España",FMS Espana,1,2018-2019,"Sábado, 05 de Mayo de 2018",05/05/2018
Blon,BTA,SIN RÉPLICA,FALSE,FALSE,"Barcelona, España",FMS Espana,1,2018-2019,"Sábado, 05 de Mayo de 2018",05/05/2018
Chuty,Force,SIN RÉPLICA,FALSE,FALSE,"Barcelona, España",FMS Espana,1,2018-2019,"Sábado, 05 de Mayo de 2018",05/05/2018
Cacha,Stuart,SIN RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,1,2018-2019,"Sábado, 26 de Mayo de 2018",26/05/2018
Dtoke,Dani,SIN RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,1,2018-2019,"Sábado, 26 de Mayo de 2018",26/05/2018
Wos,MKS,SIN RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,1,2018-2019,"Sábado, 26 de Mayo de 2018",26/05/2018
Replik,Klan,SIN RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,1,2018-2019,"Sábado, 26 de Mayo de 2018",26/05/2018
Papo,Trueno,SIN RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,1,2018-2019,"Sábado, 26 de Mayo de 2018",26/05/2018
Zasko,Force,1 RÉPLICA,FALSE,FALSE,"Alicante, España",FMS Espana,2,2018-2019,"Domingo, 10 de Junio de 2018",10/06/2018
Walls,Arkano,SIN RÉPLICA,FALSE,FALSE,"Alicante, España",FMS Espana,2,2018-2019,"Domingo, 10 de Junio de 2018",10/06/2018
Blon,Errecé,1 RÉPLICA,FALSE,FALSE,"Alicante, España",FMS Espana,2,2018-2019,"Domingo, 10 de Junio de 2018",10/06/2018
BTA,Skone,2 RÉPLICAS,FALSE,FALSE,"Alicante, España",FMS Espana,2,2018-2019,"Domingo, 10 de Junio de 2018",10/06/2018
Chuty,Hander,SIN RÉPLICA,FALSE,FALSE,"Alicante, España",FMS Espana,2,2018-2019,"Domingo, 10 de Junio de 2018",10/06/2018
Replik,Trueno,SIN RÉPLICA,FALSE,FALSE,"Mendoza, Argentina",FMS Argentina,2,2018-2019,"Sábado, 23 de Junio de 2018",23/06/2018
Wos,Dtoke,SIN RÉPLICA,FALSE,FALSE,"Mendoza, Argentina",FMS Argentina,2,2018-2019,"Sábado, 23 de Junio de 2018",23/06/2018
Klan,Cacha,SIN RÉPLICA,FALSE,FALSE,"Mendoza, Argentina",FMS Argentina,2,2018-2019,"Sábado, 23 de Junio de 2018",23/06/2018
MKS,Stuart,SIN RÉPLICA,FALSE,FALSE,"Mendoza, Argentina",FMS Argentina,2,2018-2019,"Sábado, 23 de Junio de 2018",23/06/2018
Papo,Dani,SIN RÉPLICA,FALSE,FALSE,"Mendoza, Argentina",FMS Argentina,2,2018-2019,"Sábado, 23 de Junio de 2018",23/06/2018
Dtoke,MKS,SIN RÉPLICA,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,3,2018-2019,"Domingo, 08 de Julio de 2018",08/07/2018
Papo,Klan,SIN RÉPLICA,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,3,2018-2019,"Domingo, 08 de Julio de 2018",08/07/2018
Dani,Cacha,1 RÉPLICA,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,3,2018-2019,"Domingo, 08 de Julio de 2018",08/07/2018
Replik,Wos,1 RÉPLICA,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,3,2018-2019,"Domingo, 08 de Julio de 2018",08/07/2018
Nacho,Tuqu,EXHIBICIÓN,TRUE,FALSE,"Buenos Aires, Argentina",FMS Argentina,3,2018-2019,"Domingo, 08 de Julio de 2018",08/07/2018
Arkano,BTA,SIN RÉPLICA,FALSE,FALSE,"Nigrán, España",FMS Espana,3,2018-2019,"Sábado, 04 de Agosto de 2018",04/08/2018
Chuty,Zasko,SIN RÉPLICA,FALSE,FALSE,"Nigrán, España",FMS Espana,3,2018-2019,"Sábado, 04 de Agosto de 2018",04/08/2018
Force,Hander,2 RÉPLICAS,FALSE,FALSE,"Nigrán, España",FMS Espana,3,2018-2019,"Sábado, 04 de Agosto de 2018",04/08/2018
Walls,Blon,SIN RÉPLICA,FALSE,FALSE,"Nigrán, España",FMS Espana,3,2018-2019,"Sábado, 04 de Agosto de 2018",04/08/2018
Skone,Errecé,1 RÉPLICA,FALSE,FALSE,"Nigrán, España",FMS Espana,3,2018-2019,"Sábado, 04 de Agosto de 2018",04/08/2018
Dani,Replik,1 RÉPLICA,FALSE,FALSE,"Salta, Argentina",FMS Argentina,4,2018-2019,"Domingo, 02 de Septiembre de 2018",02/09/2018
Cacha,Dtoke,1 RÉPLICA,FALSE,FALSE,"Salta, Argentina",FMS Argentina,4,2018-2019,"Domingo, 02 de Septiembre de 2018",02/09/2018
Papo,MKS,SIN RÉPLICA,FALSE,FALSE,"Salta, Argentina",FMS Argentina,4,2018-2019,"Domingo, 02 de Septiembre de 2018",02/09/2018
