winner,loser,replica,exhibition,draw,location,league,round,year,date,date
Yoiker,Potencia,SIN RÉPLICA,FALSE,FALSE,"Torreón, Coahuila, México",FMS Mexico,2,2019-2020,"Domingo, 16 de Junio de 2019",16/06/2019
Dtoke,SUB,SIN RÉPLICA,FALSE,FALSE,"Tucuman, Argentina",FMS Argentina,3,2019-2020,"Sábado, 22 de Junio de 2019",22/06/2019
Papo,Replik,SIN RÉPLICA,FALSE,FALSE,"Tucuman, Argentina",FMS Argentina,3,2019-2020,"Sábado, 22 de Junio de 2019",22/06/2019
Stuart,Klan,1 RÉPLICA,FALSE,FALSE,"Tucuman, Argentina",FMS Argentina,3,2019-2020,"Sábado, 22 de Junio de 2019",22/06/2019
Nacho,Trueno,SIN RÉPLICA,FALSE,FALSE,"Tucuman, Argentina",FMS Argentina,3,2019-2020,"Sábado, 22 de Junio de 2019",22/06/2019
Cacha,MKS,1 RÉPLICA,FALSE,FALSE,"Tucuman, Argentina",FMS Argentina,3,2019-2020,"Sábado, 22 de Junio de 2019",22/06/2019
Kaiser,Tom Crowley,1 RÉPLICA,FALSE,FALSE,"Coquimbo, Chile",FMS Chile,3,2019-2020,"Sábado, 29 de Junio de 2019",29/06/2019
El Menor,Pepe Grillo,SIN RÉPLICA,FALSE,FALSE,"Coquimbo, Chile",FMS Chile,3,2019-2020,"Sábado, 29 de Junio de 2019",29/06/2019
Teorema,Ricto,SIN RÉPLICA,FALSE,FALSE,"Coquimbo, Chile",FMS Chile,3,2019-2020,"Sábado, 29 de Junio de 2019",29/06/2019
Acertijo,Nitro,2 RÉPLICAS,FALSE,FALSE,"Coquimbo, Chile",FMS Chile,3,2019-2020,"Sábado, 29 de Junio de 2019",29/06/2019
Stigma,Drose,2 RÉPLICAS,FALSE,FALSE,"Coquimbo, Chile",FMS Chile,3,2019-2020,"Sábado, 29 de Junio de 2019",29/06/2019
Bnet,Skone,SIN RÉPLICA,FALSE,FALSE,"Bilbao, España",FMS Espana,3,2019-2020,"Sábado, 06 de Julio de 2019",06/07/2019
Mr Ego,Errecé,1 RÉPLICA,FALSE,FALSE,"Bilbao, España",FMS Espana,3,2019-2020,"Sábado, 06 de Julio de 2019",06/07/2019
Chuty,Blon,SIN RÉPLICA,FALSE,FALSE,"Bilbao, España",FMS Espana,3,2019-2020,"Sábado, 06 de Julio de 2019",06/07/2019
Walls,Force,SIN RÉPLICA,FALSE,FALSE,"Bilbao, España",FMS Espana,3,2019-2020,"Sábado, 06 de Julio de 2019",06/07/2019
Tirpa,Sweet Pain,EXHIBICIÓN,TRUE,FALSE,"Bilbao, España",FMS Espana,3,2019-2020,"Sábado, 06 de Julio de 2019",06/07/2019
Jony Beltrán,Potencia,SIN RÉPLICA,FALSE,FALSE,"Guadalajara, Jalisco, México",FMS Mexico,3,2019-2020,"Sábado, 13 de Julio de 2019",13/07/2019
RC,McKlopedia,SIN RÉPLICA,FALSE,FALSE,"Guadalajara, Jalisco, México",FMS Mexico,3,2019-2020,"Sábado, 13 de Julio de 2019",13/07/2019
Zticma,Lobo Estepario,1 RÉPLICA,FALSE,FALSE,"Guadalajara, Jalisco, México",FMS Mexico,3,2019-2020,"Sábado, 13 de Julio de 2019",13/07/2019
Yoiker,Jack Adrenalina,1 RÉPLICA,FALSE,FALSE,"Guadalajara, Jalisco, México",FMS Mexico,3,2019-2020,"Sábado, 13 de Julio de 2019",13/07/2019
Aczino,Rapder,SIN RÉPLICA,FALSE,FALSE,"Guadalajara, Jalisco, México",FMS Mexico,3,2019-2020,"Sábado, 13 de Julio de 2019",13/07/2019
MKS,Klan,SIN RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,4,2019-2020,"Sábado, 20 de Julio de 2019",20/07/2019
Trueno,Replik,SIN RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,4,2019-2020,"Sábado, 20 de Julio de 2019",20/07/2019
Papo,Stuart,SIN RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,4,2019-2020,"Sábado, 20 de Julio de 2019",20/07/2019
Dtoke,Nacho,SIN RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,4,2019-2020,"Sábado, 20 de Julio de 2019",20/07/2019
Cacha,SUB,SIN RÉPLICA,FALSE,FALSE,"Mar de Plata, Argentina",FMS Argentina,4,2019-2020,"Sábado, 20 de Julio de 2019",20/07/2019
Nitro,El Menor,SIN RÉPLICA,FALSE,FALSE,"Arica, Chile",FMS Chile,4,2019-2020,"Sábado, 27 de Julio de 2019",27/07/2019
Pepe Grillo,Kaiser,1 RÉPLICA,FALSE,FALSE,"Arica, Chile",FMS Chile,4,2019-2020,"Sábado, 27 de Julio de 2019",27/07/2019
Teorema,Acertijo,SIN RÉPLICA,FALSE,FALSE,"Arica, Chile",FMS Chile,4,2019-2020,"Sábado, 27 de Julio de 2019",27/07/2019
Tom Crowley,Drose,1 RÉPLICA,FALSE,FALSE,"Arica, Chile",FMS Chile,4,2019-2020,"Sábado, 27 de Julio de 2019",27/07/2019
Stigma,Ricto,POR DECISIÓN | 2 RÉPLICAS,FALSE,FALSE,"Arica, Chile",FMS Chile,4,2019-2020,"Sábado, 27 de Julio de 2019",27/07/2019
Blon,Mr Ego,1 RÉPLICA,FALSE,FALSE,"Nigrán, España",FMS Espana,4,2019-2020,"Sábado, 03 de Agosto de 2019",03/08/2019
Skone,Chuty,2 RÉPLICAS,FALSE,FALSE,"Nigrán, España",FMS Espana,4,2019-2020,"Sábado, 03 de Agosto de 2019",03/08/2019
Errecé,Walls,SIN RÉPLICA,FALSE,FALSE,"Nigrán, España",FMS Espana,4,2019-2020,"Sábado, 03 de Agosto de 2019",03/08/2019
Bnet,BTA,SIN RÉPLICA,FALSE,FALSE,"Nigrán, España",FMS Espana,4,2019-2020,"Sábado, 03 de Agosto de 2019",03/08/2019
Force,Zasko,SIN RÉPLICA,FALSE,FALSE,"Nigrán, España",FMS Espana,4,2019-2020,"Sábado, 03 de Agosto de 2019",03/08/2019
Jony Beltrán,Lobo Estepario,SIN RÉPLICA,FALSE,FALSE,"Puebla, Puebla, México",FMS Mexico,4,2019-2020,"Domingo, 11 de Agosto de 2019",11/08/2019
Potencia,Jack Adrenalina,SIN RÉPLICA,FALSE,FALSE,"Puebla, Puebla, México",FMS Mexico,4,2019-2020,"Domingo, 11 de Agosto de 2019",11/08/2019
Zticma,Rapder,1 RÉPLICA,FALSE,FALSE,"Puebla, Puebla, México",FMS Mexico,4,2019-2020,"Domingo, 11 de Agosto de 2019",11/08/2019
Yoiker,McKlopedia,1 RÉPLICA,FALSE,FALSE,"Puebla, Puebla, México",FMS Mexico,4,2019-2020,"Domingo, 11 de Agosto de 2019",11/08/2019
Aczino,RC,SIN RÉPLICA,FALSE,FALSE,"Puebla, Puebla, México",FMS Mexico,4,2019-2020,"Domingo, 11 de Agosto de 2019",11/08/2019
Nacho,SUB,SIN RÉPLICA,FALSE,FALSE,"Mendoza, Argentina",FMS Argentina,5,2019-2020,"Domingo, 18 de Agosto de 2019",18/08/2019
Klan,Cacha,2 RÉPLICAS,FALSE,FALSE,"Mendoza, Argentina",FMS Argentina,5,2019-2020,"Domingo, 18 de Agosto de 2019",18/08/2019
Dtoke,Replik,2 RÉPLICAS,FALSE,FALSE,"Mendoza, Argentina",FMS Argentina,5,2019-2020,"Domingo, 18 de Agosto de 2019",18/08/2019
Trueno,Stuart,SIN RÉPLICA,FALSE,FALSE,"Mendoza, Argentina",FMS Argentina,5,2019-2020,"Domingo, 18 de Agosto de 2019",18/08/2019
MKS,Papo,1 RÉPLICA,FALSE,FALSE,"Mendoza, Argentina",FMS Argentina,5,2019-2020,"Domingo, 18 de Agosto de 2019",18/08/2019
Ricto,Drose,2 RÉPLICAS,FALSE,FALSE,"Valparaíso, Chile",FMS Chile,5,2019-2020,"Sábado, 24 de Agosto de 2019",24/08/2019
Tom Crowley,Nitro,1 RÉPLICA,FALSE,FALSE,"Valparaíso, Chile",FMS Chile,5,2019-2020,"Sábado, 24 de Agosto de 2019",24/08/2019
El Menor,Stigma,2 RÉPLICAS,FALSE,FALSE,"Valparaíso, Chile",FMS Chile,5,2019-2020,"Sábado, 24 de Agosto de 2019",24/08/2019
Acertijo,Pepe Grillo,SIN RÉPLICA,FALSE,FALSE,"Valparaíso, Chile",FMS Chile,5,2019-2020,"Sábado, 24 de Agosto de 2019",24/08/2019
Kaiser,Teorema,1 RÉPLICA,FALSE,FALSE,"Valparaíso, Chile",FMS Chile,5,2019-2020,"Sábado, 24 de Agosto de 2019",24/08/2019
RC,Rapder,SIN RÉPLICA,FALSE,FALSE,"Tijuana, México, México",FMS Mexico,5,2019-2020,"Sábado, 31 de Agosto de 2019",31/08/2019
Aczino,Potencia,SIN RÉPLICA,FALSE,FALSE,"Tijuana, México, México",FMS Mexico,5,2019-2020,"Sábado, 31 de Agosto de 2019",31/08/2019
Jony Beltrán,Jack Adrenalina,SIN RÉPLICA,FALSE,FALSE,"Tijuana, México, México",FMS Mexico,5,2019-2020,"Sábado, 31 de Agosto de 2019",31/08/2019
Yoiker,Lobo Estepario,SIN RÉPLICA,FALSE,FALSE,"Tijuana, México, México",FMS Mexico,5,2019-2020,"Sábado, 31 de Agosto de 2019",31/08/2019
Lancer Lirical,Skiper,EXHIBICIÓN,TRUE,FALSE,"Tijuana, México, México",FMS Mexico,5,2019-2020,"Sábado, 31 de Agosto de 2019",31/08/2019
Potencia,RC,2 RÉPLICAS,FALSE,FALSE,"Queretaro, Queretaro, México",FMS Mexico,6,2019-2020,"Sábado, 21 de Septiembre de 2019",21/09/2019
Aczino,Zticma,SIN RÉPLICA,FALSE,FALSE,"Queretaro, Queretaro, México",FMS Mexico,6,2019-2020,"Sábado, 21 de Septiembre de 2019",21/09/2019
Rapder,Yoiker,1 RÉPLICA,FALSE,FALSE,"Queretaro, Queretaro, México",FMS Mexico,6,2019-2020,"Sábado, 21 de Septiembre de 2019",21/09/2019
Lobo Estepario,Jack Adrenalina,SIN RÉPLICA,FALSE,FALSE,"Queretaro, Queretaro, México",FMS Mexico,6,2019-2020,"Sábado, 21 de Septiembre de 2019",21/09/2019
Jony Beltrán,Yartzi,EXHIBICIÓN,TRUE,FALSE,"Queretaro, Queretaro, México",FMS Mexico,6,2019-2020,"Sábado, 21 de Septiembre de 2019",21/09/2019
Ricto,Pepe Grillo,1 RÉPLICA,FALSE,FALSE,"Temuco, Chile",FMS Chile,6,2019-2020,"Sábado, 28 de Septiembre de 2019",28/09/2019
Nitro,Drose,1 RÉPLICA,FALSE,FALSE,"Temuco, Chile",FMS Chile,6,2019-2020,"Sábado, 28 de Septiembre de 2019",28/09/2019
El Menor,Kaiser,2 RÉPLICAS,FALSE,FALSE,"Temuco, Chile",FMS Chile,6,2019-2020,"Sábado, 28 de Septiembre de 2019",28/09/2019
Acertijo,Stigma,SIN RÉPLICA,FALSE,FALSE,"Temuco, Chile",FMS Chile,6,2019-2020,"Sábado, 28 de Septiembre de 2019",28/09/2019
Jokker,Tom Crowley,EXHIBICIÓN,TRUE,FALSE,"Temuco, Chile",FMS Chile,6,2019-2020,"Sábado, 28 de Septiembre de 2019",28/09/2019
MKS,Nacho,SIN RÉPLICA,FALSE,FALSE,"Rosario, Argentina",FMS Argentina,6,2019-2020,"Sábado, 05 de Octubre de 2019",05/10/2019
Papo,SUB,SIN RÉPLICA,FALSE,FALSE,"Rosario, Argentina",FMS Argentina,6,2019-2020,"Sábado, 05 de Octubre de 2019",05/10/2019
Stuart,Replik,SIN RÉPLICA,FALSE,FALSE,"Rosario, Argentina",FMS Argentina,6,2019-2020,"Sábado, 05 de Octubre de 2019",05/10/2019
Cacha,Dtoke,1 RÉPLICA,FALSE,FALSE,"Rosario, Argentina",FMS Argentina,6,2019-2020,"Sábado, 05 de Octubre de 2019",05/10/2019
Mecha,Klan,EXHIBICIÓN,TRUE,FALSE,"Rosario, Argentina",FMS Argentina,6,2019-2020,"Sábado, 05 de Octubre de 2019",05/10/2019
Acertijo,Kaiser,SIN RÉPLICA,FALSE,FALSE,"Antofagasta, Chile",FMS Chile,7,2019-2020,"Sábado, 12 de Octubre de 2019",12/10/2019
Tom Crowley,Stigma,SIN RÉPLICA,FALSE,FALSE,"Antofagasta, Chile",FMS Chile,7,2019-2020,"Sábado, 12 de Octubre de 2019",12/10/2019
Drose,El Menor,SIN RÉPLICA,FALSE,FALSE,"Antofagasta, Chile",FMS Chile,7,2019-2020,"Sábado, 12 de Octubre de 2019",12/10/2019
Joqerr,Pepe Grillo,EXHIBICIÓN,TRUE,FALSE,"Antofagasta, Chile",FMS Chile,7,2019-2020,"Sábado, 12 de Octubre de 2019",12/10/2019
Nitro,Esezeta,EXHIBICIÓN,TRUE,FALSE,"Antofagasta, Chile",FMS Chile,7,2019-2020,"Sábado, 12 de Octubre de 2019",12/10/2019
Mr Ego,Walls,2 RÉPLICAS,FALSE,FALSE,"Málaga, España",FMS Espana,5,2019-2020,"Sábado, 12 de Octubre de 2019",12/10/2019
Bnet,Blon,SIN RÉPLICA,FALSE,FALSE,"Málaga, España",FMS Espana,5,2019-2020,"Sábado, 12 de Octubre de 2019",12/10/2019
Force,BTA,1 RÉPLICA,FALSE,FALSE,"Málaga, España",FMS Espana,5,2019-2020,"Sábado, 12 de Octubre de 2019",12/10/2019
Skone,Zasko,SIN RÉPLICA,FALSE,FALSE,"Málaga, España",FMS Espana,5,2019-2020,"Sábado, 12 de Octubre de 2019",12/10/2019
Chuty,Errecé,SIN RÉPLICA,FALSE,FALSE,"Málaga, España",FMS Espana,5,2019-2020,"Sábado, 12 de Octubre de 2019",12/10/2019
Aczino,McKlopedia,SIN RÉPLICA,FALSE,FALSE,"Monterrey, Nuevo León, México",FMS Mexico,7,2019-2020,"Viernes, 18 de Octubre de 2019",18/10/2019
Potencia,Rapder,2 RÉPLICAS,FALSE,FALSE,"Monterrey, Nuevo León, México",FMS Mexico,7,2019-2020,"Viernes, 18 de Octubre de 2019",18/10/2019
RC,Lobo Estepario,1 RÉPLICA,FALSE,FALSE,"Monterrey, Nuevo León, México",FMS Mexico,7,2019-2020,"Viernes, 18 de Octubre de 2019",18/10/2019
Zticma,Jack Adrenalina,SIN RÉPLICA,FALSE,FALSE,"Monterrey, Nuevo León, México",FMS Mexico,7,2019-2020,"Viernes, 18 de Octubre de 2019",18/10/2019
B One,Garza,EXHIBICIÓN,TRUE,FALSE,"Monterrey, Nuevo León, México",FMS Mexico,7,2019-2020,"Viernes, 18 de Octubre de 2019",18/10/2019
Letra,Yoiker,EXHIBICIÓN,TRUE,TRUE,"Monterrey, Nuevo León, México",FMS Mexico,7,2019-2020,"Viernes, 18 de Octubre de 2019",18/10/2019
Chuty,Force,SIN RÉPLICA,FALSE,FALSE,"Salamanca, España",FMS Espana,6,2019-2020,"Domingo, 27 de Octubre de 2019",27/10/2019
Mr Ego,BTA,SIN RÉPLICA,FALSE,FALSE,"Salamanca, España",FMS Espana,6,2019-2020,"Domingo, 27 de Octubre de 2019",27/10/2019
Blon,Walls,SIN RÉPLICA,FALSE,FALSE,"Salamanca, España",FMS Espana,6,2019-2020,"Domingo, 27 de Octubre de 2019",27/10/2019
Skone,Errecé,SIN RÉPLICA,FALSE,FALSE,"Salamanca, España",FMS Espana,6,2019-2020,"Domingo, 27 de Octubre de 2019",27/10/2019
Zasko,Bnet,1 RÉPLICA,FALSE,FALSE,"Salamanca, España",FMS Espana,6,2019-2020,"Domingo, 27 de Octubre de 2019",27/10/2019
Gazir,Zaina,EXHIBICIÓN,TRUE,FALSE,"Salamanca, España",FMS Espana,6,2019-2020,"Domingo, 27 de Octubre de 2019",27/10/2019
Stuart,Dtoke,1 RÉPLICA,FALSE,FALSE,"La Plata, Argentina",FMS Argentina,7,2019-2020,"Sábado, 02 de Noviembre de 2019",02/11/2019
Nacho,Replik,1 RÉPLICA,FALSE,FALSE,"La Plata, Argentina",FMS Argentina,7,2019-2020,"Sábado, 02 de Noviembre de 2019",02/11/2019
Cacha,Papo,2 RÉPLICAS,FALSE,FALSE,"La Plata, Argentina",FMS Argentina,7,2019-2020,"Sábado, 02 de Noviembre de 2019",02/11/2019
Trueno,MKS,SIN RÉPLICA,FALSE,FALSE,"La Plata, Argentina",FMS Argentina,7,2019-2020,"Sábado, 02 de Noviembre de 2019",02/11/2019
Klan,SUB,1 RÉPLICA,FALSE,FALSE,"La Plata, Argentina",FMS Argentina,7,2019-2020,"Sábado, 02 de Noviembre de 2019",02/11/2019
Rapder,Jack Adrenalina,SIN RÉPLICA,FALSE,FALSE,"Mérida, Yucatán, México",FMS Mexico,8,2019-2020,"Viernes, 08 de Noviembre de 2019",08/11/2019
Lobo Estepario,McKlopedia,1 RÉPLICA,FALSE,FALSE,"Mérida, Yucatán, México",FMS Mexico,8,2019-2020,"Viernes, 08 de Noviembre de 2019",08/11/2019
Aczino,Jony Beltrán,SIN RÉPLICA,FALSE,FALSE,"Mérida, Yucatán, México",FMS Mexico,8,2019-2020,"Viernes, 08 de Noviembre de 2019",08/11/2019
Potencia,Zticma,SIN RÉPLICA,FALSE,FALSE,"Mérida, Yucatán, México",FMS Mexico,8,2019-2020,"Viernes, 08 de Noviembre de 2019",08/11/2019
Teorema,Skiper,EXHIBICIÓN,TRUE,FALSE,"Mérida, Yucatán, México",FMS Mexico,8,2019-2020,"Viernes, 08 de Noviembre de 2019",08/11/2019
Force,Botta,EXHIBICIÓN,TRUE,TRUE,"Asturias, España",FMS Espana,7,2019-2020,"Sábado, 16 de Noviembre de 2019",16/11/2019
Bnet,Errecé,SIN RÉPLICA,FALSE,FALSE,"Asturias, España",FMS Espana,7,2019-2020,"Sábado, 16 de Noviembre de 2019",16/11/2019
Chuty,Mr Ego,SIN RÉPLICA,FALSE,FALSE,"Asturias, España",FMS Espana,7,2019-2020,"Sábado, 16 de Noviembre de 2019",16/11/2019
Blon,Zasko,SIN RÉPLICA,FALSE,FALSE,"Asturias, España",FMS Espana,7,2019-2020,"Sábado, 16 de Noviembre de 2019",16/11/2019
Walls,BTA,SIN RÉPLICA,FALSE,FALSE,"Asturias, España",FMS Espana,7,2019-2020,"Sábado, 16 de Noviembre de 2019",16/11/2019
Force,Mr Ego,1 RÉPLICA,FALSE,FALSE,"Barcelona, España",FMS Espana,8,2019-2020,"Domingo, 01 de Diciembre de 2019",01/12/2019
BTA,Errecé,SIN RÉPLICA,FALSE,FALSE,"Barcelona, España",FMS Espana,8,2019-2020,"Domingo, 01 de Diciembre de 2019",01/12/2019
Walls,Bnet,DEFAULT,FALSE,FALSE,"Barcelona, España",FMS Espana,8,2019-2020,"Domingo, 01 de Diciembre de 2019",01/12/2019
Chuty,Zasko,DEFAULT,FALSE,FALSE,"Barcelona, España",FMS Espana,8,2019-2020,"Domingo, 01 de Diciembre de 2019",01/12/2019
Skone,Blon,1 RÉPLICA,FALSE,FALSE,"Barcelona, España",FMS Espana,8,2019-2020,"Domingo, 01 de Diciembre de 2019",01/12/2019
Sweet Pain,Mnak,EXHIBICIÓN,TRUE,TRUE,"Barcelona, España",FMS Espana,8,2019-2020,"Domingo, 01 de Diciembre de 2019",01/12/2019
Cacha,Trueno,1 RÉPLICA,FALSE,FALSE,"Corrientes, Argentina",FMS Argentina,8,2019-2020,"Sábado, 07 de Diciembre de 2019",07/12/2019
MKS,Dtoke,SIN RÉPLICA,FALSE,FALSE,"Corrientes, Argentina",FMS Argentina,8,2019-2020,"Sábado, 07 de Diciembre de 2019",07/12/2019
Stuart,Nacho,SIN RÉPLICA,FALSE,FALSE,"Corrientes, Argentina",FMS Argentina,8,2019-2020,"Sábado, 07 de Diciembre de 2019",07/12/2019
SUB,Replik,SIN RÉPLICA,FALSE,FALSE,"Corrientes, Argentina",FMS Argentina,8,2019-2020,"Sábado, 07 de Diciembre de 2019",07/12/2019
Papo,Klan,SIN RÉPLICA,FALSE,FALSE,"Corrientes, Argentina",FMS Argentina,8,2019-2020,"Sábado, 07 de Diciembre de 2019",07/12/2019
Ricto,El Menor,1 RÉPLICA,FALSE,FALSE,"Punta Arenas, Chile",FMS Chile,8,2019-2020,"Sábado, 21 de Diciembre de 2019",21/12/2019
Pepe Grillo,Stigma,SIN RÉPLICA,FALSE,FALSE,"Punta Arenas, Chile",FMS Chile,8,2019-2020,"Sábado, 21 de Diciembre de 2019",21/12/2019
Kaiser,Drose,1 RÉPLICA,FALSE,FALSE,"Punta Arenas, Chile",FMS Chile,8,2019-2020,"Sábado, 21 de Diciembre de 2019",21/12/2019
Teorema,Nitro,1 RÉPLICA,FALSE,FALSE,"Punta Arenas, Chile",FMS Chile,8,2019-2020,"Sábado, 21 de Diciembre de 2019",21/12/2019
Acertijo,Tom Crowley,2 RÉPLICAS,FALSE,FALSE,"Punta Arenas, Chile",FMS Chile,8,2019-2020,"Sábado, 21 de Diciembre de 2019",21/12/2019
Blon,BTA,SIN RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,9,2019-2020,"Sábado, 21 de Diciembre de 2019",21/12/2019
Skone,Walls,SIN RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,9,2019-2020,"Sábado, 21 de Diciembre de 2019",21/12/2019
Zasko,Mr Ego,SIN RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,9,2019-2020,"Sábado, 21 de Diciembre de 2019",21/12/2019
Chuty,Bnet,SIN RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,9,2019-2020,"Sábado, 21 de Diciembre de 2019",21/12/2019
Errecé,Force,SIN RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,9,2019-2020,"Sábado, 21 de Diciembre de 2019",21/12/2019
RC,Jony Beltrán,SIN RÉPLICA,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,9,2019-2020,"Domingo, 22 de Diciembre de 2019",22/12/2019
Lobo Estepario,Rapder,1 RÉPLICA,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,9,2019-2020,"Domingo, 22 de Diciembre de 2019",22/12/2019
Aczino,Jack Adrenalina,SIN RÉPLICA,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,9,2019-2020,"Domingo, 22 de Diciembre de 2019",22/12/2019
Potencia,McKlopedia,SIN RÉPLICA,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,9,2019-2020,"Domingo, 22 de Diciembre de 2019",22/12/2019
Zticma,Yoiker,3 RÉPLICAS,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,9,2019-2020,"Domingo, 22 de Diciembre de 2019",22/12/2019
MKS,Replik,SIN RÉPLICA,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,9,2019-2020,"Sábado, 28 de Diciembre de 2019",28/12/2019
Stuart,SUB,SIN RÉPLICA,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,9,2019-2020,"Sábado, 28 de Diciembre de 2019",28/12/2019
Nacho,Cacha,2 RÉPLICAS,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,9,2019-2020,"Sábado, 28 de Diciembre de 2019",28/12/2019
Klan,Dtoke,SIN RÉPLICA,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,9,2019-2020,"Sábado, 28 de Diciembre de 2019",28/12/2019
Trueno,Papo,SIN RÉPLICA,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,9,2019-2020,"Sábado, 28 de Diciembre de 2019",28/12/2019
Pepe Grillo,Drose,1 RÉPLICA,FALSE,FALSE,"Santiago, Chile",FMS Chile,9,2019-2020,"Domingo, 29 de Diciembre de 2019",29/12/2019
Ricto,Tom Crowley,SIN RÉPLICA,FALSE,FALSE,"Santiago, Chile",FMS Chile,9,2019-2020,"Domingo, 29 de Diciembre de 2019",29/12/2019
Teorema,Stigma,SIN RÉPLICA,FALSE,FALSE,"Santiago, Chile",FMS Chile,9,2019-2020,"Domingo, 29 de Diciembre de 2019",29/12/2019
El Menor,Acertijo,SIN RÉPLICA,FALSE,FALSE,"Santiago, Chile",FMS Chile,9,2019-2020,"Domingo, 29 de Diciembre de 2019",29/12/2019
Nitro,Kaiser,DEFAULT,FALSE,FALSE,"Santiago, Chile",FMS Chile,9,2019-2020,"Domingo, 29 de Diciembre de 2019",29/12/2019
Nitro,Rodamiento,EXHIBICIÓN,TRUE,TRUE,"Santiago, Chile",FMS Chile,9,2019-2020,"Domingo, 29 de Diciembre de 2019",29/12/2019
Zasko,Gazir,SIN RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,1,2020-2021,"Sábado, 11 de Julio de 2020",11/07/2020
Tirpa,Mr Ego,1 RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,1,2020-2021,"Sábado, 11 de Julio de 2020",11/07/2020
Sweet Pain,Blon,SIN RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,1,2020-2021,"Sábado, 11 de Julio de 2020",11/07/2020
Mnak,Khan,SIN RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,1,2020-2021,"Sábado, 11 de Julio de 2020",11/07/2020
Bnet,Errecé,SIN RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,1,2020-2021,"Sábado, 11 de Julio de 2020",11/07/2020
Skill,Choque,SIN RÉPLICA,FALSE,FALSE,"Lima, Perú",FMS Peru,1,2020-2021,"Sábado, 18 de Julio de 2020",18/07/2020
Jota,Toy Lokazo,SIN RÉPLICA,FALSE,FALSE,"Lima, Perú",FMS Peru,1,2020-2021,"Sábado, 18 de Julio de 2020",18/07/2020
Strike,Litzen,2 RÉPLICAS,FALSE,FALSE,"Lima, Perú",FMS Peru,1,2020-2021,"Sábado, 18 de Julio de 2020",18/07/2020
Nekroos,Vijay Kesh,SIN RÉPLICA,FALSE,FALSE,"Lima, Perú",FMS Peru,1,2020-2021,"Sábado, 18 de Julio de 2020",18/07/2020
Enzo,Zika,EXHIBICIÓN,TRUE,FALSE,"Lima, Perú",FMS Peru,1,2020-2021,"Sábado, 18 de Julio de 2020",18/07/2020
Skiper,Rapder,1 RÉPLICA,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,1,2020-2021,"Sábado, 25 de Julio de 2020",25/07/2020
RC,Potencia,SIN RÉPLICA,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,1,2020-2021,"Sábado, 25 de Julio de 2020",25/07/2020
Yoiker,Zticma,SIN RÉPLICA,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,1,2020-2021,"Sábado, 25 de Julio de 2020",25/07/2020
Lobo Estepario,Garza,SIN RÉPLICA,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,1,2020-2021,"Sábado, 25 de Julio de 2020",25/07/2020
Jony Beltrán,B One,2 RÉPLICAS,FALSE,FALSE,"Ciudad de México, México",FMS Mexico,1,2020-2021,"Sábado, 25 de Julio de 2020",25/07/2020
Litzen,Jota,SIN RÉPLICA,FALSE,FALSE,"Lima, Perú",FMS Peru,2,2020-2021,"Sábado, 08 de Agosto de 2020",08/08/2020
Choque,Vijay Kesh,SIN RÉPLICA,FALSE,FALSE,"Lima, Perú",FMS Peru,2,2020-2021,"Sábado, 08 de Agosto de 2020",08/08/2020
Toy Lokazo,Strike,SIN RÉPLICA,FALSE,FALSE,"Lima, Perú",FMS Peru,2,2020-2021,"Sábado, 08 de Agosto de 2020",08/08/2020
Skill,Ramset,1 RÉPLICA,FALSE,FALSE,"Lima, Perú",FMS Peru,2,2020-2021,"Sábado, 08 de Agosto de 2020",08/08/2020
Piero Pistas,Diego MC,EXHIBICIÓN,TRUE,FALSE,"Lima, Perú",FMS Peru,2,2020-2021,"Sábado, 08 de Agosto de 2020",08/08/2020
